CUST_ID,CUST_PRODUCT_CNT,CUST_DOLLER_FLAG,CUST_INTERNATIONAL_GOLD_FLAG,CUST_INTERNATIONAL_SIL_FLAG,CUST_INTERNATIONAL_DIAMOND_FLAG,CUST_STAD_PLATINUM_FLAG,TOP_CARD_LEVEL,CUST_VALUE_CLASS,DEP_SA_FGCR_ACCOUNT_CNT,FUND_FLAG,QSAB_FLAG,OCN,FINA_BUY_NOFIX_AVGCNT_zj,FINA_BUY_THREE_AVGAMT_zj,FINA_BUY_THREE_AVGCNT_zj,FINA_MONTH_AVG_BAL_AVG_zj
1000008976,1,1,0,1,1,0,0,1,4,0,0,8,0,0.0,0,0.0
1000009110,4,0,0,0,0,0,6,0,0,0,0,8,0,0.0,0,0.0
1000009171,0,0,0,0,0,0,6,1,0,0,0,6,0,0.0,0,0.0
1000009196,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0.0
1000009498,4,0,0,0,0,0,4,3,0,0,0,3,0,0.0,0,-0.021857924
1000009547,3,0,0,0,0,0,6,3,0,1,0,3,0,0.0,0,-0.010928962
1000009986,2,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0,0.0
1000010234,8,0,0,0,0,1,6,5,0,0,1,0,-6,0.0,0,0.021145164
1000010248,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000010500,3,1,0,1,0,0,2,2,2,0,0,0,0,0.0,0,0.0
1000011151,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000011647,2,0,0,0,0,0,6,4,0,0,1,8,0,0.0,0,-0.010928962
1000012095,2,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,0.0
1000012323,4,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000012470,1,0,0,0,0,0,6,3,0,1,0,8,0,0.0,0,0.0
1000012544,5,0,0,0,0,0,6,2,0,0,0,8,0,0.0,0,0.0
1000013004,5,0,0,0,0,0,6,2,0,0,0,4,0,0.0,0,0.0
1000013207,8,1,0,1,1,1,0,1,0,0,0,8,0,0.0,0,0.0
1000013249,7,1,0,1,0,0,2,4,2,0,1,8,-4,-1346666.667,-6,0.021263958
1000013288,5,1,0,0,0,0,3,1,0,0,0,0,0,0.0,0,0.0
1000013806,10,1,0,0,1,0,0,4,2,0,0,0,-6,0.0,0,0.021501544
1000013901,2,1,1,0,1,1,0,1,4,0,0,8,0,0.0,0,0.0
1000013989,4,0,0,0,0,0,6,3,0,0,0,3,-4,-466666.6667,-4,0.042884296
1000014258,1,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000016133,3,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000016421,0,0,0,0,0,0,6,1,0,1,0,8,0,0.0,0,0.0
1000016528,1,0,0,0,0,0,7,2,0,0,0,0,0,0.0,0,0.0
1000016754,4,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000017054,3,0,0,0,0,0,6,0,0,0,0,8,0,0.0,0,0.0
1000018129,5,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000018186,3,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000018655,1,0,0,0,0,0,6,1,0,0,0,6,0,0.0,0,0.0
1000019842,3,0,0,0,0,0,6,0,0,0,0,8,0,0.0,0,0.0
1000020379,2,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000020642,5,1,0,1,0,0,2,3,2,1,0,0,0,0.0,0,0.0
1000020751,4,1,0,1,0,0,2,2,2,1,0,3,0,0.0,0,0.0
1000020929,4,0,0,0,0,0,6,2,0,0,0,0,0,-140000.0,-2,0.010691373999999998
1000021642,7,1,0,0,1,0,7,5,3,0,0,3,0,0.0,0,0.0
1000022342,6,0,0,0,0,0,6,3,0,0,0,8,0,0.0,0,0.0
1000022369,3,0,0,0,0,0,6,2,0,0,0,2,0,0.0,0,0.010810168
1000022557,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000022748,4,1,0,0,1,1,0,1,2,0,0,1,0,0.0,0,0.0
1000022905,2,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000023024,7,1,1,0,0,0,1,3,2,1,1,3,0,-600000.0,-2,0.010691373999999998
1000023305,5,0,0,0,0,0,6,2,0,0,0,4,0,0.0,0,0.0
1000023509,3,0,0,0,0,0,6,1,0,0,0,2,0,0.0,0,0.0
1000023726,7,0,0,0,0,1,4,1,0,0,0,4,0,0.0,0,0.0
1000024627,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000025082,3,0,0,0,0,0,7,3,0,0,0,8,0,0.0,0,0.0
1000025386,8,0,0,0,0,0,7,0,0,0,0,4,0,0.0,0,0.0
1000025885,2,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000026303,7,1,0,0,1,0,0,4,2,0,1,4,-2,-2000000.0,-2,0.021501544
1000026369,8,1,1,0,1,0,0,3,4,1,1,8,0,0.0,0,-0.010928962
1000026606,3,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,-0.021857924
1000026718,2,0,0,0,0,0,6,1,0,0,0,3,0,0.0,0,0.0
1000027003,5,1,0,1,0,0,2,3,2,0,1,8,0,0.0,0,0.021620336
1000028959,5,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000029416,6,1,0,0,1,0,0,4,2,0,0,4,0,0.0,0,0.0
1000029509,3,0,0,0,0,0,7,1,0,0,0,3,0,0.0,0,0.0
1000029667,4,0,0,0,0,0,6,2,2,1,0,0,0,0.0,0,0.0
1000029673,14,1,0,0,1,1,0,5,11,1,0,4,0,0.0,0,0.0
1000030137,6,1,0,0,1,1,0,1,3,0,0,8,0,0.0,0,0.0
1000030360,4,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000030468,3,0,0,0,0,0,6,1,0,0,0,4,0,0.0,0,0.0
1000030480,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000030779,6,1,0,0,1,0,0,2,2,0,1,0,-4,0.0,0,0.0
1000030853,9,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000031253,5,1,1,1,0,0,7,4,2,0,0,3,0,0.0,0,0.0
1000031404,0,0,0,0,0,0,7,3,0,0,0,0,0,0.0,0,0.0
1000031438,3,1,1,0,0,0,7,4,3,0,0,3,0,0.0,0,0.0
1000031484,2,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,0.0
1000031501,4,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000031765,7,1,0,1,0,0,2,1,2,0,0,0,0,0.0,0,0.0
1000031872,2,1,0,0,1,0,0,0,2,0,0,3,0,0.0,0,0.0
1000031894,1,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000032083,11,1,0,0,1,1,0,3,2,1,0,4,0,0.0,0,0.0
1000032539,6,1,0,1,0,0,2,3,3,1,1,8,0,-186666.6667,-2,0.021620336
1000033247,4,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000033417,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000033531,2,0,0,0,0,0,5,1,0,0,0,4,0,0.0,0,0.0
1000033544,2,0,0,0,0,0,7,0,0,0,0,8,0,0.0,0,0.0
1000033637,3,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000033641,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0.0
1000033918,2,0,0,0,0,0,6,0,3,0,0,0,0,0.0,0,0.0
1000033929,5,1,0,1,0,0,2,3,2,0,0,8,-2,0.0,0,0.010691373999999998
1000033936,1,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000034320,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000035627,4,0,0,0,0,0,6,2,0,0,1,0,0,0.0,0,-0.010928962
1000035697,4,0,0,0,0,1,6,3,0,0,0,0,0,0.0,0,0.0
1000035753,4,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000036601,3,1,0,1,0,0,2,1,2,0,0,0,0,0.0,0,0.010810168
1000036938,3,0,0,0,0,0,6,2,0,1,0,3,0,0.0,0,0.0
1000037023,5,0,0,0,0,0,6,2,0,1,1,8,0,0.0,0,-0.010928962
1000037928,1,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000038153,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000038874,3,0,0,0,0,0,6,2,0,0,0,8,0,0.0,0,0.0
1000038909,3,1,1,0,0,0,1,3,2,0,0,8,0,0.0,0,0.0
1000038910,0,0,0,0,0,0,6,1,0,1,0,0,0,0.0,0,0.0
1000039078,8,1,0,1,0,0,7,2,2,1,1,0,0,-66666.66667,-2,-0.011047756
1000039153,6,1,0,1,0,0,2,3,2,1,1,3,-2,0.0,0,0.021501544
1000039194,5,0,0,0,0,0,6,0,0,0,0,8,0,0.0,0,0.0
1000039458,8,1,1,1,0,0,1,4,4,1,1,8,0,-1240000.0,-6,0.021382752
1000039578,2,0,0,0,0,0,6,1,0,0,0,6,0,0.0,0,0.0
1000039776,2,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000039894,7,0,0,0,0,0,6,3,0,0,1,3,-2,0.0,0,0.0
1000039950,4,1,1,0,0,0,7,4,0,0,0,0,0,0.0,0,0.0
1000040320,8,1,0,0,1,0,0,2,2,1,1,3,0,0.0,0,0.0
1000040385,7,1,0,1,0,0,2,3,0,0,1,8,-2,0.0,0,0.032430506
1000040530,1,1,0,0,1,0,0,1,2,0,0,3,0,0.0,0,0.0
1000041563,4,0,0,0,0,0,4,1,0,0,0,3,0,0.0,0,0.0
1000041742,6,0,0,0,0,0,6,2,2,0,0,3,0,0.0,0,0.0
